fuel_type,plant_code,vendor,quantity,unit,billing_month
Natural Gas,PL-IND-156,GAIL,3081.47,SCM,2026-04
Petrol,PL-IND-157,HPCL,5267.42,Liters,2026-05
Diesel,PL-IND-158,Bharat Petroleum,0.0,Liters,2026-02
Diesel,PL-IND-159,Bharat Petroleum,-1853.62,Liters,2026-02
Diesel,PL-IND-160,GAIL,4289.39,Liters,2026-04
Diesel,PL-IND-161,Bharat Petroleum,5920.91,Liters,2026-03
Petrol,PL-IND-162,Indian Oil,6514.8,Liters,2026-02
Natural Gas,PL-IND-163,GAIL,5533.44,SCM,2026-01
LPG,PL-IND-164,Bharat Petroleum,,KG,2026-01
LPG,PL-IND-165,HPCL,-657.08,KG,2026-04
Petrol,PL-IND-166,HPCL,4064.31,Liters,2026-05
Diesel,PL-IND-167,GAIL,1181.05,Liters,2026-03
Natural Gas,PL-IND-168,Indian Oil,6341.76,SCM,2026-03
Natural Gas,PL-IND-169,GAIL,7412.51,SCM,2026-05
Natural Gas,PL-IND-170,GAIL,4290.07,SCM,2026-04
Petrol,PL-IND-171,HPCL,7004.13,Liters,2026-03
LPG,PL-IND-172,GAIL,0.0,KG,2026-04
Petrol,PL-IND-173,Indian Oil,,Liters,2026-04
LPG,PL-IND-174,HPCL,3829.23,KG,2026-01
Diesel,PL-IND-175,GAIL,,Liters,2026-04
LPG,PL-IND-176,GAIL,2424.91,KG,2026-04
Natural Gas,PL-IND-177,HPCL,4392.98,SCM,2026-04
Diesel,PL-IND-178,Bharat Petroleum,1095.72,Liters,2026-02
Petrol,PL-IND-179,Indian Oil,7390.51,Liters,2026-02
Petrol,PL-IND-180,Indian Oil,6016.22,Liters,2026-02
LPG,PL-IND-181,GAIL,2706.12,KG,2026-04
Natural Gas,PL-IND-182,GAIL,4557.69,SCM,2026-02
Natural Gas,PL-IND-183,Indian Oil,6980.89,SCM,2026-03
LPG,PL-IND-184,HPCL,0.0,KG,2026-01
LPG,PL-IND-185,GAIL,4390.39,KG,2026-02
LPG,PL-IND-186,GAIL,7087.21,KG,2026-04
Natural Gas,PL-IND-187,GAIL,3875.43,SCM,2026-02
LPG,PL-IND-188,GAIL,5645.82,KG,2026-04
Natural Gas,PL-IND-189,GAIL,-117.56,SCM,2026-01
LPG,PL-IND-190,Indian Oil,,KG,2026-04
Petrol,PL-IND-191,Indian Oil,5583.47,Liters,2026-02
Natural Gas,PL-IND-192,Indian Oil,2855.16,SCM,2026-04
Petrol,PL-IND-193,Indian Oil,7015.4,Liters,2026-03
Petrol,PL-IND-194,HPCL,1251.29,Liters,2026-04
Diesel,PL-IND-195,Bharat Petroleum,6227.36,Liters,2026-03
Petrol,PL-IND-196,Indian Oil,5858.01,Liters,2026-01
Diesel,PL-IND-197,Indian Oil,3053.57,Liters,2026-03
LPG,PL-IND-198,GAIL,0.0,KG,2026-02
Petrol,PL-IND-199,Bharat Petroleum,-811.49,Liters,2026-02
